studentId,fullName,lastName,departmentId,joiningDate,studentDob,mobileNo,email
5,Robert,Patricia,2,2018-10-05,2018-10-05,9000090001,x.x@perficient.com
11,Joseph,Jessica,2,2018-10-05,2018-10-05,9000090007,x.x@perficient.com
17,Anthony,Margaret,2,2018-10-05,2018-10-05,9000090013,x.x@perficient.com
23,Joshua,Michelle,2,2018-10-05,2018-10-05,9000090019,x.x@perficient.com
29,Ronald,Stephanie,2,2018-10-05,2018-10-05,9000090025,x.x@perficient.com
35,Gary,Amy,2,2018-10-05,2018-10-05,9000090031,x.x@perficient.com
41,Justin,Pamela,2,2018-10-05,2018-10-05,9000090037,x.x@perficient.com
47,Frank,Debra,2,2018-10-05,2018-10-05,9000090043,x.x@perficient.com
52,Dennis,Ruth,2,2018-10-05,2018-10-05,9000090048,x.x@perficient.com
53,Jerry,Maria,2,2018-10-05,2018-10-05,9000090049,x.x@perficient.com
59,Nathan,Victoria,2,2018-10-05,2018-10-05,9000090055,x.x@perficient.com
64,Walter,Joan,2,2018-10-05,2018-10-05,9000090060,x.x@perficient.com
65,Ethan,Evelyn,2,2018-10-05,2018-10-05,9000090061,x.x@perficient.com
71,Noah,Martha,2,2018-10-05,2018-10-05,9000090067,x.x@perficient.com
77,Arthur,Kathryn,2,2018-10-05,2018-10-05,9000090073,x.x@perficient.com
83,Jordan,Doris,2,2018-10-05,2018-10-05,9000090079,x.x@perficient.com
89,Logan,Amber,2,2018-10-05,2018-10-05,9000090085,x.x@perficient.com
95,Randy,Marie,2,2018-10-05,2018-10-05,9000090091,x.x@perficient.com
